Identifiant station;Nom station;Station en fonctionnement;Capacitï¿½ï¿½ de la sta;Nombre bornettes libres;Nombre total vï¿½ï¿½los disponi;Vï¿½ï¿½los mï¿½ï¿½caniques dis;Vï¿½ï¿½los ï¿½ï¿½lectriques dis;Borne de paiement disponible;Retour vï¿½ï¿½lib poss;Actualisation de la donnï¿½;Coordonnï¿½ï¿½es gï¿½ï¿½ogr;Nom communes ï¿½ï¿½quip;Code INSEE communes ï¿½ï¿½quip
9014;Faubourg Montmartre - La Fayette;OUI;35;21;12;9;3;OUI;OUI;2021-10-20T13:43:42+02:00;48.8752545491,2.3408536613;Paris;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;30;0;0;0;OUI;OUI;2021-10-20T13:46:37+02:00;48.8756426475,2.35945880413;Paris;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;14;4;3;1;OUI;OUI;2021-10-20T13:41:23+02:00;48.8865558007,2.28864043951;Paris;
17040;Pereire - Ternes;OUI;48;39;7;4;3;OUI;OUI;2021-10-20T13:43:55+02:00;48.8797395483,2.28801213205;Paris;
8016;Square Louis XVI;OUI;29;13;16;15;1;OUI;OUI;2021-10-20T13:46:41+02:00;48.873204401,2.32365883074;Paris;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;0;17;11;6;OUI;OUI;2021-10-20T13:45:58+02:00;48.8570587391,2.34179828394;Paris;
10162;Alexandre Parodi - Quai de Valmy;OUI;24;21;3;2;1;OUI;OUI;2021-10-20T13:42:09+02:00;48.8793594194,2.36659616232;Paris;
17008;Porte Pouchet-Bessiï¿½ï¿;OUI;23;19;4;2;2;OUI;OUI;2021-10-20T13:43:25+02:00;48.8978765,2.3230632;Paris;
10115;Granges aux Belles;OUI;27;23;2;2;0;OUI;OUI;2021-10-20T13:44:19+02:00;48.8761373391,2.36808449794;Paris;
31706;Chï¿½ï¿½teau - Rï¿½ï¿½;OUI;26;18;7;6;1;OUI;OUI;2021-10-20T13:41:51+02:00;48.8629238006,2.4155035615;Bagnolet;
10029;Dunkerque - Rocroy;OUI;24;21;0;0;0;OUI;OUI;2021-10-20T13:44:05+02:00;48.880726,2.351464;Paris;
22409;Henri Barbusse - Stalingrad;OUI;16;13;1;0;1;OUI;OUI;2021-10-20T13:44:08+02:00;48.8141837487,2.28728625923;Malakoff;
9038;Douai - Bruxelles;OUI;27;24;2;0;2;OUI;OUI;2021-10-20T13:46:13+02:00;48.8832078412,2.3308449949;Paris;
17012;Mairie du 17ï¿½ï;OUI;24;19;3;1;2;OUI;OUI;2021-10-20T13:44:31+02:00;48.8841618487,2.3220794311;Paris;
8009;Gare Saint-Lazare - Isly;OUI;27;4;23;19;4;OUI;OUI;2021-10-20T13:45:01+02:00;48.8747776776,2.32651580478;Paris;
17004;Legendre - Clichy;OUI;40;35;5;2;3;OUI;OUI;2021-10-20T13:44:18+02:00;48.8889616186,2.32252897509;Paris;
19105;Ambroise Rendu - Porte Brunet;OUI;17;9;7;3;4;OUI;OUI;2021-10-20T13:45:20+02:00;48.883667,2.395733;Paris;
19003;Quai de la Seine;OUI;24;21;3;2;1;OUI;OUI;2021-10-20T13:42:43+02:00;48.8844922384,2.37039417028;Paris;
31103;Gare Rosny-Bois-Perrier;OUI;36;14;18;10;8;OUI;OUI;2021-10-20T13:44:18+02:00;48.8811502334,2.48043682426;Rosny-sous-Bois;
8036;Lisbonne - Monceau;OUI;33;4;29;15;14;OUI;OUI;2021-10-20T13:41:58+02:00;48.8774556768,2.30969422142;Paris;
6001;Institut de France;OUI;17;1;15;10;5;OUI;OUI;2021-10-20T13:45:14+02:00;48.8576156786,2.33583135304;Paris;
18107;Chartres - La Charbonniï¿½ï;OUI;34;31;3;1;2;OUI;OUI;2021-10-20T13:46:09+02:00;48.8847601,2.3534657;Paris;
15112;Vigï¿½ï¿½e-Lebrun - Anselme P;OUI;24;24;0;0;0;OUI;OUI;2021-10-20T13:46:01+02:00;48.8386839416,2.3110422492;Paris;
5020;Institut du Monde Arabe - Saint-Germain;OUI;40;0;39;39;0;OUI;OUI;2021-10-20T13:46:07+02:00;48.8490632995,2.35580865294;Paris;
7025;Octave Grï¿½ï¿½ard - Tour Ei;OUI;33;8;23;20;3;OUI;OUI;2021-10-20T13:46:42+02:00;48.8565029777,2.29317875433;Paris;
16026;Ranelagh - Mozart;OUI;23;20;2;1;1;OUI;OUI;2021-10-20T13:43:29+02:00;48.8554439,2.2704418;Paris;
10025;Jemmapes - Ecluses Saint-Martin;OUI;15;12;0;0;0;OUI;OUI;2021-10-20T13:43:20+02:00;48.8774851919,2.36600674689;Paris;
10107;Gare du Nord - Hï¿½ï¿½pital Lariboisi;OUI;49;48;0;0;0;OUI;OUI;2021-10-20T13:41:13+02:00;48.881949,2.352339;Paris;
19015;Thionville - Ourcq;OUI;24;19;3;2;1;OUI;OUI;2021-10-20T13:43:54+02:00;48.8891761374,2.38336533308;Paris;
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;33;4;2;2;OUI;OUI;2021-10-20T13:46:17+02:00;48.8802215405,2.2854680568;Paris;
26003;Argenteuil - Voltaire;OUI;16;5;7;6;1;OUI;OUI;2021-10-20T13:46:37+02:00;48.9186486596,2.28141121566;Asniï¿½ï¿½res-sur-S;
11002;Roquette - Thiï¿½ï¿;OUI;23;12;8;7;1;OUI;OUI;2021-10-20T13:40:49+02:00;48.8550793058,2.37336863187;Paris;
10008;Citï¿½ï¿½ Riverin - Chï¿½ï¿½te;OUI;18;5;11;11;0;OUI;OUI;2021-10-20T13:43:13+02:00;48.8707024236,2.3587398639;Paris;
16039;Exelmans - Versailles;OUI;49;27;12;7;5;OUI;OUI;2021-10-20T13:44:07+02:00;48.8409749109,2.26439025253;Paris;
1122;Pont-Neuf - Quai du Louvre;OUI;30;30;0;0;0;NON;NON;2021-01-22T22:50:04+01:00;48.8582958983,2.34237145633;Paris;
31009;Place Du Gï¿½ï¿½nï¿½ï¿½ral D;OUI;26;24;0;0;0;OUI;OUI;2021-10-20T13:45:51+02:00;48.8687591,2.4329931;Montreuil;
12151;Gare de Lyon - Place Louis Armand;OUI;60;12;43;38;5;OUI;OUI;2021-10-20T13:46:25+02:00;48.8455150898,2.37264984463;Paris;
11047;Amelot - Saint-Sï¿½ï¿½bas;OUI;30;15;14;11;3;OUI;OUI;2021-10-20T13:46:06+02:00;48.8611421628,2.36779961811;Paris;
92007;Pesaro - Prï¿½ï¿½fec;OUI;22;11;9;5;4;OUI;OUI;2021-10-20T13:42:27+02:00;48.8957704628,2.22390834242;Nanterre;
17030;Pereire - Rennequin;OUI;23;21;2;1;1;OUI;OUI;2021-10-20T13:44:32+02:00;48.8836478289,2.29524470866;Paris;
9022;Rossini - Laffitte;OUI;33;4;26;20;6;OUI;OUI;2021-10-20T13:45:11+02:00;48.8733462751,2.3379808677;Paris;
