Identifiant station;Nom station;Station en fonctionnement;Capacitï¿½ï¿½ de la sta;Nombre bornettes libres;Nombre total vï¿½ï¿½los disponi;Vï¿½ï¿½los mï¿½ï¿½caniques dis;Vï¿½ï¿½los ï¿½ï¿½lectriques dis;Borne de paiement disponible;Retour vï¿½ï¿½lib poss;Actualisation de la donnï¿½;Coordonnï¿½ï¿½es gï¿½ï¿½ogr;Nom communes ï¿½ï¿½quip;Code INSEE communes ï¿½ï¿½quip
12111;Claude Decaen - Cannebiï¿½ï;OUI;27;24;3;2;1;OUI;OUI;2021-10-20T13:38:44+02:00;48.8376141704,2.3972537822;Paris;
9028;Moncey - Blanche;OUI;17;12;5;1;4;OUI;OUI;2021-10-20T13:41:50+02:00;48.8800658747,2.33108103275;Paris;
8034;Berri - Haussmann;OUI;35;14;21;11;10;OUI;OUI;2021-10-20T13:45:07+02:00;48.8747460474,2.3082953319;Paris;
20042;Pyrï¿½ï¿½nï¿½ï¿½es ;OUI;40;39;1;0;1;OUI;OUI;2021-10-20T13:44:14+02:00;48.8720102813,2.39203959703;Paris;
15067;Desaix - Edgar Faure;OUI;12;2;10;9;1;OUI;OUI;2021-10-20T13:45:47+02:00;48.8528046049,2.29307702986;Paris;
11027;Saint-Ambroise - Parmentier;OUI;38;33;1;1;0;OUI;OUI;2021-10-20T13:45:59+02:00;48.8621478445,2.3772348091;Paris;
43401;Gare RER - Canadiens;OUI;45;12;30;28;2;OUI;OUI;2021-10-20T13:45:45+02:00;48.8199530796,2.46417675246;Joinville-le-Pont;
19026;Place de Rhin et Danube;OUI;17;17;0;0;0;OUI;OUI;2021-10-20T13:36:45+02:00;48.8819276586,2.39258676767;Paris;
26002;Redoute - Les Courtilles;OUI;32;1;31;23;8;OUI;OUI;2021-10-20T13:45:38+02:00;48.9298671945,2.28366963565;Asniï¿½ï¿½res-sur-S;
11023;Saint-Maur - Roquette;OUI;46;40;2;1;1;OUI;OUI;2021-10-20T13:45:02+02:00;48.8586887741,2.38355399457;Paris;
8010;Liï¿½ï¿½ge - Mo;OUI;17;14;2;2;0;OUI;OUI;2021-10-20T13:40:39+02:00;48.8795431,2.3264628;Paris;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;35;1;1;0;OUI;OUI;2021-10-20T13:38:11+02:00;48.8088953377,2.53824211657;Champigny-sur-Marne;
46002;Rouget de Lisle;OUI;35;13;20;18;2;OUI;OUI;2021-10-20T13:45:09+02:00;48.7646154834,2.40711897612;Choisy-le-Roi;
19043;Delphine Seyrig - Gï¿½ï¿½nï¿½ï¿½ral;OUI;53;49;2;0;2;OUI;OUI;2021-10-20T13:44:32+02:00;48.8939239631,2.39790290594;Pantin;
18003;Cimetiï¿½ï¿½re de Montma;OUI;43;40;2;1;1;OUI;OUI;2021-10-20T13:43:24+02:00;48.8864724661,2.33289018273;Paris;
5032;Panthï¿½ï¿½on - Val;OUI;39;23;16;5;11;OUI;OUI;2021-10-20T13:46:32+02:00;48.8470205717,2.34649826197;Paris;
11113;Richard Lenoir - Republique;OUI;58;54;3;1;2;OUI;OUI;2021-10-20T13:45:42+02:00;48.8667175,2.3692541;Paris;
14020;Cimetiï¿½ï¿½re de Montr;OUI;58;55;2;2;0;OUI;OUI;2021-10-20T13:37:43+02:00;48.822009,2.322188699;Paris;
10016;Rï¿½ï¿½collets - Square Vill;OUI;17;14;0;0;0;OUI;OUI;2021-10-20T13:46:25+02:00;48.8750346559,2.3598012386;Paris;
41302;Charles de Gaulle - Beautï¿;OUI;49;42;5;3;2;OUI;OUI;2021-10-20T13:40:22+02:00;48.8364960231,2.47956265115;Nogent-sur-Marne;
21212;Marne - Germain Dardan;OUI;22;20;2;1;1;OUI;OUI;2021-10-20T13:43:42+02:00;48.811542704,2.30307072401;Montrouge;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;15;3;1;2;OUI;OUI;2021-10-20T13:45:07+02:00;48.8447992886,2.32933775589;Paris;
42706;Roger Salengro - Fontainebleau;OUI;25;18;6;2;4;OUI;OUI;2021-10-20T13:45:12+02:00;48.8145486973,2.36116636544;Le Kremlin-Bicï¿½ï¿;
12128;Pyramide - Ecole du Breuil;OUI;34;7;23;18;5;OUI;OUI;2021-10-20T13:46:28+02:00;48.8223797715,2.45868712664;Paris;
33017;Anatole France - President Roosevelt;OUI;29;15;12;7;5;OUI;OUI;2021-10-20T13:46:17+02:00;48.9155156,2.3814103;Aubervilliers;
31022;Mairie de Montreuil;OUI;52;45;3;2;1;OUI;OUI;2021-10-20T13:43:18+02:00;48.8613145276,2.44061440229;Montreuil;
20112;Jourdain - Place des Grandes Rigoles;OUI;22;22;0;0;0;OUI;OUI;2021-10-20T13:44:36+02:00;48.8740311373,2.38959476352;Paris;
19101;Square Simon Bolivar;OUI;24;22;2;1;1;OUI;OUI;2021-10-20T13:44:13+02:00;48.8750898883,2.38263040781;Paris;
19044;Grands Moulins de Pantin;OUI;50;34;15;11;4;OUI;OUI;2021-10-20T13:44:56+02:00;48.8973836972,2.39599853754;Paris;
14003;Schoelcher - Raspail;OUI;50;46;1;1;0;OUI;OUI;2021-10-20T13:39:47+02:00;48.8368173353,2.33127940804;Paris;
33102;Gabriel Pï¿½ï¿½ri - Francisco Fe;OUI;18;15;1;1;0;OUI;OUI;2021-10-20T13:45:44+02:00;48.8863371024,2.40733891726;Le Prï¿½ï¿½-Saint-Ger;
15042;Henry Farman;OUI;16;6;9;9;0;OUI;OUI;2021-10-20T13:43:41+02:00;48.8337243028,2.27138545364;Paris;
21312;Lucie Aubrac - Fort;OUI;30;27;2;0;2;OUI;OUI;2021-10-20T13:46:14+02:00;48.818144834,2.27118462324;Issy-les-Moulineaux;
43008;Fontenay - Libï¿½ï¿½ra;OUI;25;15;10;7;3;OUI;OUI;2021-10-20T13:44:02+02:00;48.8478030636,2.44514197111;Vincennes;
13001;Port-Royal - Hï¿½ï¿½pital du Val-de-Gr;OUI;18;6;11;8;3;OUI;OUI;2021-10-20T13:46:40+02:00;48.8376682728,2.34481383466;Paris;
8045;Place de la Reine Astrid;OUI;58;23;33;30;3;OUI;OUI;2021-10-20T13:45:48+02:00;48.8649209825,2.30254918239;Paris;
44006;Concorde - Stalingrad;OUI;35;24;9;5;4;OUI;OUI;2021-10-20T13:44:57+02:00;48.7985844,2.3821302;Vitry-sur-Seine;
18011;Pajol - Place Herbert;OUI;39;35;2;0;2;OUI;OUI;2021-10-20T13:46:33+02:00;48.8927825,2.3635598;Paris;
19120;Carducci - Place Hannah Arendt;OUI;27;27;0;0;0;OUI;OUI;2021-10-20T13:44:12+02:00;48.8774366815,2.38607436419;Paris;
15104;Hï¿½ï¿½pital Europï¿½ï¿½en Georges ;OUI;64;11;44;40;4;OUI;OUI;2021-10-20T13:46:23+02:00;48.8376953192,2.27537423372;Paris;
14138;Porte de Vanves;OUI;32;28;4;2;2;OUI;OUI;2021-10-20T13:44:47+02:00;48.8280128494,2.30568788946;Paris;
22202;Jean Marin Naudin - Stalingrad;OUI;30;29;1;1;0;OUI;OUI;2021-10-20T13:46:24+02:00;48.8057138974,2.32020232826;Bagneux;
46003;Conservatoire de Musique;OUI;25;2;21;21;0;OUI;OUI;2021-10-20T13:45:31+02:00;48.7709358667,2.40340143442;Choisy-le-Roi;
5004;Saint-Jacques - Val de Grï¿½ï;OUI;20;14;5;2;3;OUI;OUI;2021-10-20T13:46:24+02:00;48.8417514,2.3413893;Paris;
18028;Championnet - Vauvenargues;OUI;33;31;2;1;1;OUI;OUI;2021-10-20T13:41:35+02:00;48.8940187474,2.33198728412;Paris;
19103;Manin - Carriï¿½ï¿½res d'Amï¿½;OUI;20;18;2;1;1;OUI;OUI;2021-10-20T13:45:58+02:00;48.8846721421,2.3919698596;Paris;
20037;Gambetta - Saint Fargeau;OUI;24;23;1;0;1;OUI;OUI;2021-10-20T13:44:50+02:00;48.8712446104,2.40390568972;Paris;
21306;Place Lafayette;OUI;62;7;55;42;13;OUI;OUI;2021-10-20T13:45:41+02:00;48.8296549755,2.26386755705;Issy-les-Moulineaux;
15054;Lecourbe - Jean Maridor;OUI;19;6;13;7;6;OUI;OUI;2021-10-20T13:41:17+02:00;48.8379636615,2.28773921728;Paris;
